,precision,recall,f1-score,support
Apple_cedar_rust,1.0,1.0,1.0,55.0
Apple_healthy,1.0,0.9878419452887538,0.9938837920489296,329.0
Apple_scab,0.9921259842519685,1.0,0.9960474308300395,126.0
Bell_pepper_bacterial_spot,0.9950248756218906,1.0,0.9975062344139651,200.0
Bell_pepper_healthy,0.9966216216216216,1.0,0.9983079526226735,295.0
Blueberry_healthy,1.0,1.0,1.0,300.0
Cherry_healthy,0.9712643678160919,0.9941176470588236,0.9825581395348837,170.0
Corn_common_rust,0.99581589958159,0.99581589958159,0.99581589958159,239.0
Corn_gray_leaf_spot,0.97,0.941747572815534,0.9556650246305419,103.0
Corn_northern_leaf_blight,0.965,0.9796954314720813,0.9722921914357683,197.0
Grape_black_rot,1.0,1.0,1.0,236.0
Grape_healthy,1.0,1.0,1.0,84.0
Peach_healthy,0.9863013698630136,1.0,0.993103448275862,72.0
Potato_early_blight,1.0,0.99,0.9949748743718593,200.0
Potato_late_blight,1.0,0.985,0.9924433249370277,200.0
Raspberry_healthy,0.9866666666666667,1.0,0.9932885906040269,74.0
Soybean_healthy,0.9980295566502463,0.9950884086444007,0.9965568125922283,1018.0
Squash_powdery_mildew,1.0,1.0,1.0,367.0
Strawberry_healthy,1.0,1.0,1.0,92.0
Tomato_bacterial_spot,0.9881796690307328,0.9835294117647059,0.9858490566037735,425.0
Tomato_early_blight,0.9468599033816425,0.98,0.9631449631449631,200.0
Tomato_healthy,0.9968652037617555,1.0,0.9984301412872841,318.0
Tomato_late_blight,0.9868421052631579,0.981675392670157,0.984251968503937,382.0
Tomato_leaf_mold,1.0,0.9895287958115183,0.9947368421052631,191.0
Tomato_mosaic_virus,1.0,1.0,1.0,74.0
Tomato_septoria_leaf_spot,0.9805555555555555,0.9971751412429378,0.988795518207283,354.0
Tomato_two_spotted_spider_mite,0.9880952380952381,0.991044776119403,0.9895678092399404,335.0
Tomato_yellow_leaf_curl_virus,1.0,0.9943977591036415,0.9971910112359551,1071.0
accuracy,0.9927338782924614,0.9927338782924614,0.9927338782924614,0.9927338782924614
macro avg,0.9908660006128989,0.9923806493419124,0.9915861080788497,7707.0
weighted avg,0.9928144571338248,0.9927338782924614,0.99274842050177,7707.0
